City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Jamestown,42.097,-79.2353,42.39,76,98,7.0,US,1638496676
Busselton,-33.65,115.3333,70.09,33,0,12.91,AU,1638496955
Mataura,-46.1927,168.8643,67.82,72,97,3.49,NZ,1638496709
Upernavik,72.7868,-56.1549,21.16,88,100,25.68,GL,1638496701
Rikitea,-23.1203,-134.9692,76.28,75,7,15.3,PF,1638496956
Longyearbyen,78.2186,15.6401,28.24,59,40,20.71,SJ,1638496956
Los Llanos de Aridane,28.6585,-17.9182,64.15,80,40,5.01,ES,1638496957
Mbaïki,3.8678,17.9892,69.58,95,100,2.55,CF,1638496957
Ponta do Sol,32.6667,-17.1,65.03,69,14,7.45,PT,1638496957
Nome,64.5011,-165.4064,-3.93,77,75,11.5,US,1638496958
Hong Kong,22.2855,114.1577,65.25,34,4,4.0,HK,1638496801
Butaritari,3.0707,172.7902,81.93,73,13,11.65,KI,1638496958
Leningradskiy,69.3833,178.4167,4.33,92,100,17.11,RU,1638496741
Kapaa,22.0752,-159.319,72.19,100,21,4.88,US,1638496728
Tezu,27.9167,96.1667,70.93,45,27,0.6,IN,1638496741
Prince Rupert,54.3161,-130.3201,40.69,70,90,13.8,CA,1638496778
Coyhaique,-45.5752,-72.0662,40.86,92,2,4.45,CL,1638496959
Muros,42.7762,-9.0603,51.98,96,42,2.51,ES,1638496960
Madīnat Sittah Uktūbar,29.8167,31.05,58.6,68,85,8.75,EG,1638496960
Dhidhdhoo,6.8833,73.1,81.64,78,8,7.67,MV,1638496960
Punta Arenas,-53.15,-70.9167,48.11,61,98,17.22,CL,1638496961
Ouésso,1.6136,16.0517,70.34,98,100,1.34,CG,1638496961
Bluff,-46.6,168.3333,60.46,79,46,7.36,NZ,1638496700
Mahébourg,-20.4081,57.7,77.25,80,26,13.13,MU,1638496961
Saint Anthony,45.0205,-93.218,42.55,68,90,0.0,US,1638496962
